gen,max,mean,std 
0,89.53788117912033,8.88127345132867,29.04542147691139
1,90.69853908213778,37.04901268675383,40.98099280637367
2,90.02901301948917,64.56700995332469,36.3687963270451
3,92.56304739758639,77.0774944247639,29.149221948662465
4,93.46624979919325,69.56096397691644,35.76837573976439
5,93.50168263345198,76.5987568085715,33.45283620332341
6,93.46624979919325,75.61816301345277,31.567223319189342
7,93.46624979919325,79.72750046631249,29.488759513130603
8,93.46624979919325,62.00398289780405,40.516008093708415
9,93.93679627126203,77.18116018066085,27.234804653131395
10,93.46624979919325,63.44487316159223,40.058669850579484
11,93.50168263345198,77.07887551352832,32.02370989003527
12,93.50168263345198,84.24092498175112,23.62756118353934
13,93.93679627126203,82.69701155232795,27.751186108910872
14,93.49825298494036,88.28419490859346,15.169233527369828
