gen,max,mean,std 
0,87.13935834262664,0.8960319067048037,20.115225088576626
1,87.57399989261958,15.555874363848563,32.416282160013644
2,87.13935834262664,17.732759938334176,36.80503120806115
3,86.53385326087634,22.155272642426816,37.0916287777984
4,87.27105438238982,34.277324443670196,42.44557265989674
5,87.13935834262664,32.880935905180245,43.679796034590744
6,87.13935834262664,35.9905069428598,38.81255956750248
7,87.53788162462297,43.70614435901128,37.28865479738944
8,89.03297711225777,44.77953362401037,42.26225273125407
9,87.49935834262664,46.46783287788068,41.74465223624787
10,87.21399989261957,59.04623199663335,35.04236210810914
11,87.16586946817496,65.66040792458948,35.99142663692555
12,89.38885900702333,67.13333637936198,31.887370747355536
13,88.9992564842077,65.15925933127775,34.72360104859224
14,87.19935834262662,65.02610110697972,30.307449279891667
