gen,max,mean,std 
0,86.44510580438043,6.334353418981998,27.516986878173835
1,87.13935834262664,17.966642880096742,39.50264495797712
2,87.13935834262664,16.394410696299673,33.29616874201948
3,87.69858512203888,18.96162280987594,34.913884210261706
4,87.5561748176703,32.24349350609451,37.67164079908223
5,87.5561748176703,46.65007624542138,39.09009161007446
6,87.5561748176703,67.88359243411189,34.00469871239048
7,87.14811752271652,66.59075208368814,31.843863174511092
8,87.49935834262664,64.9294723927604,37.74206047558637
9,87.49935834262664,52.47803171980884,42.24642168805562
10,90.83297711225777,68.11997448912732,35.18963225944749
11,87.51399989261958,78.89357621663501,24.05712883505388
12,87.49935834262664,67.3858892582605,35.82974277705405
13,87.13935834262664,62.993279052885065,36.69168845525887
14,87.13935834262664,74.23369490452481,29.687108635336383
